source,url,title,search_term,content,categories,date_scraped
Wikipedia,https://en.wikipedia.org/wiki/Black_Canadians,Black Canadians,Black history,"Black Canadians[nb 1] (French: Canadiens Noirs) are Canadians of full or partial Afro-Caribbean or sub-Saharan African descent. Black Canadian settlement and immigration patterns can be categorized into two distinct groups. The majority of Black Canadians are descendants of immigrants from the Caribbean and the African continent who arrived in Canada during significant migration waves, beginning in the post-war era of the 1950s and continuing into recent decades.","Black Canadian people, African diaspora in Canada, Caribbean diaspora in Canada, People of African descent, Canadian people of African descent",2025-06-22 19:13:09
Wikipedia,https://en.wikipedia.org/wiki/Kevin_Hart's_Guide_to_Black_History,Kevin Hart's Guide to Black History,Black history,Kevin Hart's Guide to Black History is a Netflix variety special starring Kevin Hart. Kevin Hart's Guide to Black History is a guide to African-American black history through re-enactments with a familial sitcom set-up and archival footage.,"2019 television specials, American English-language television shows, Netflix specials, 2010s American television specials, Historical television series",2025-06-22 19:13:10
Wikipedia,https://en.wikipedia.org/wiki/Afrofuturism,Afrofuturism,Afro-futurism,"Afrofuturism is a cultural aesthetic, philosophy of science, and history that explores the intersection of the African diaspora culture with science and technology. It addresses themes and concerns of the African diaspora through technoculture and speculative fiction, encompassing a range of media and artists with a shared interest in envisioning black futures that stem from Afro-diasporic experiences. While Afrofuturism is most commonly associated with science fiction, it can also encompass other speculative genres such as Afro-fantasy, fantasy, alternate history and magic realism, and can also be found in music. The term was coined by American cultural critic Mark Dery in 1993 and explored in the late 1990s through conversations led by Alondra Nelson.","Afrofuturism, 1993 neologisms, Art movements, African-American culture, Science fiction genres",2025-06-22 19:13:14
Wikipedia,https://en.wikipedia.org/wiki/Afro-Surrealism,Afro-Surrealism,Afro-futurism,"Afro-Surrealism (also Afro-surrealism, AfroSurrealism) is a genre or school of art and literature. In 1974, Amiri Baraka used the term to describe the work of Henry Dumas. D. Scot Miller in 2009 wrote ""The Afro-surreal Manifesto"" in which he says: ""Afro-Surrealism sees that all 'others' who create from their actual, lived experience are surrealist ...."" The manifesto delineates Afro-Surrealism from Surrealism and Afro-Futurism. The manifesto lists ten tenets that Afro-Surrealism follows including how ""Afro-Surrealists restore the cult of the past"", and how ""Afro-Surreal presupposes that beyond this visible world, there is an invisible world striving to manifest, and it is our job to uncover it"". Afro-Surrealism, is practiced and embodied in music, photography, film, the visual arts and poetry. Notable practitioners and inspirations of Afro-Surrealism include Ted Joans, Bob Kaufman, Krista Franklin, Aimé Césaire, Suzanne Césaire, Léopold Sédar Senghor, René Ménil, Kool Keith, Terence Na","African-American culture, African-American art, American contemporary art, American literary movements, Postcolonialism",2025-06-22 19:13:15
Wikipedia,https://en.wikipedia.org/wiki/Sundial_(album),Sundial (album),Afro-futurism,"Sundial is the second studio album by American hip hop artist Noname. It was self-released on August 11, 2023, and features guest appearances by Ayoni, Eryn Allen Kane, Jay Electronica, Common and Billy Woods, amongst others. On May 15, 2019, Noname broke the news about her second studio album being titled Factory Baby. The album was expected to be released in late 2021 but was later scrapped. According to the rapper, she had trouble finding producers she could ""genuinely connect with sonically"".","2023 albums, Noname (rapper) albums, Self-released albums",2025-06-22 19:13:16
Wikipedia,https://en.wikipedia.org/wiki/Felonious_Munk,Felonious Munk,Afro-futurism,"Arif Bilal Shahid (born August 4, 1972), better known by his stage name Felonious Munk, is an Ethiopian-American comedian, writer, actor, playwright, and social commentator. He is best known as Hassan on the ABC show For Life. After leaving a job as a finance director for a car dealership, Munk pursued stand up comedy. Shortly after, he began a web series, Stop It B. The series eventually gained attention in the political world for Munk's socio-political commentary. Following several appearances on Fox Business News' Imus in the Morning in 2011, Munk was hired by WPIX in New York to provide commentary for their 5pm news broadcast, anchored by Jodi Applegate. He was also a regular in the comedy clubs in the city, headlining Gotham in 2012/13 and making appearances on podcasts like Robert Kelly's You Know What Dude! podcast, among others.","1972 births, Living people, 21st-century American comedians, American stand-up comedians, Hampton High School (Virginia) alumni",2025-06-22 19:13:18
Wikipedia,https://en.wikipedia.org/wiki/Goldie,Goldie,Afro-futurism,"Clifford Joseph Price MBE (born 19 September 1965), better known as Goldie, is an English music producer, DJ, and actor. Initially gaining exposure for his work as a graffiti artist, Goldie became well known for his pioneering role as a musician in the 1990s UK jungle, drum and bass and breakbeat hardcore scenes. He released a variety of singles under the pseudonym Rufige Kru and co-founded the label Metalheadz. He later released several albums under his own name, including the 1995 album Timeless, which entered the UK charts at number 7.","Living people, Black British artists, Black British male actors, Black British DJs, English drum and bass musicians",2025-06-22 19:13:19
Wikipedia,https://en.wikipedia.org/wiki/Rammellzee,Rammellzee,Afro-futurism,"Rammellzee (stylized RAMM:ΣLL:ZΣΣ, pronounced ""Ram: Ell: Zee""; December 15, 1960 – June 28, 2010) was a visual artist, gothic futurist graffiti writer, painter, performance artist, art theoretician, sculptor and a hip-hop musician from New York City, who has been cited as ""instrumental in introducing elements of the avant-garde into hip-hop culture"". Rammellzee was born on December 15, 1960, in Far Rockaway, Queens to an African-American mother and Italian father who worked as a transit detective. He grew up in the Carlton Manor Projects near the Far Rockaway–Mott Avenue A train terminal station. His graffiti work started to show up in the 1970s on New York City's subway cars and stations, specifically on the A-train since it was his local train. Rammellzee studied dentistry at the Clara Barton High School for Health Professions, was a model for Wilhelmina (under the name Mcrammellzee), and briefly studied jewelry design at the Fashion Institute of Technology (FIT).","1960 births, 2010 deaths, American graffiti artists, Rappers from Queens, New York, 20th-century American painters",2025-06-22 19:13:20
Wikipedia,https://en.wikipedia.org/wiki/Africanfuturism,Africanfuturism,Afro-futurism,"Africanfuturism is a cultural aesthetic and philosophy of science that centers on the fusion of African culture, history, mythology, point of view, with technology based in Africa and not limiting to the diaspora. It was coined by Nigerian American writer Nnedi Okorafor in 2019 in a blog post as a single word. Nnedi Okorafor defines Africanfuturism as a sub-category of science fiction that is ""directly rooted in African culture, history, mythology and point-of-view..and...does not privilege or center the West,"" is centered with optimistic ""visions in the future,"" and is written by (and centered on) ""people of African descent"" while rooted in the African continent. As such its center is African, often does extend upon the continent of Africa, and includes the Black diaspora, including fantasy that is set in the future, making a narrative ""more science fiction than fantasy"" and typically has mystical elements. It is different from Afrofuturism, which focuses mainly on the African diaspor","Africanfuturism, 2019 neologisms, Art movements, Culture of Africa, Science fiction genres",2025-06-22 19:13:22
Wikipedia,https://en.wikipedia.org/wiki/Kizazi_Moto:_Generation_Fire,Kizazi Moto: Generation Fire,Afro-futurism,"Kizazi Moto: Generation Fire is an Afrofuturist and Africanfuturist animated anthology short film series produced by Triggerfish. It premiered on July 5, 2023, on Disney+. It received generally positive reviews from critics. Each film has an African perspective, from one or more directors, on themes such as social media, duality, disability, self-reflection, shared humanity, and other topics, with stories which include time travel, extraterrestrials, and alternate universes.","2020s American animated television series, 2020s American black cartoons, American animated fantasy television series, Animation of Africa, Afrofuturist films",2025-06-22 19:13:23
Wikipedia,https://en.wikipedia.org/wiki/Ultimate_Black_Panther,Ultimate Black Panther,Afro-futurism,"Ultimate Black Panther is a 2024 comic book series written by Bryan Edward Hill and illustrated by Stefano Caselli. Published by Marvel Comics, it is set in the Ultimate Universe. It follows T'Challa as he rules over the isolated Wakanda, while garnering allies and preparing for war with Moon Knight, who aims to take control of the rest of Africa in The Maker's absence. Ultimate Black Panther, a reimagination of the Black Panther character, is the second comic of the Ultimate Universe line. It was published a month after the debut of Ultimate Spider-Man and one month before the debut of Ultimate X-Men. Those three series were the first ongoing series of the Ultimate Universe after the miniseries Ultimate Invasion that started it. Of those three, Ultimate Black Panther is the only one that is not a reboot of a previous series from the original Ultimate Marvel imprint. Hill explained that, although the comic is set in the Ultimate Universe and that would give him great freedom to reinven","2024 comics debuts, Black Panther (Marvel Comics), Comics set in fictional countries, Ultimate Universe",2025-06-22 19:13:24
Wikipedia,https://en.wikipedia.org/wiki/Pan-Africanism,Pan-Africanism,Afro-futurism,"Pan-Africanism is a nationalist movement that aims to encourage and strengthen bonds of solidarity between all indigenous peoples and diasporas of African ancestry. Based on a common goal dating back to the Atlantic slave trade, the Trans-Saharan slave trade, the Indian Ocean slave trade, the Red Sea slave trade, slavery in the Cape Colony (now South Africa), along with slavery in Mauritius, the movement extends beyond continental Africans with a substantial support base among the African diaspora in the Americas and Europe. Pan-Africanism is said to have its origins in the struggles of the African people against enslavement and colonization and this struggle may be traced back to the first resistance on slave ships—rebellions and suicides—through the constant plantation and colonial uprisings and the ""Back to Africa"" movements of the 19th century. Based on the belief that unity is vital to economic, social, and political progress, it aims to unify and uplift people of African ancestry","Pan-Africanism, Pan-nationalism, African and Black nationalism, African diaspora, Africana philosophy",2025-06-22 19:13:26
Wikipedia,https://en.wikipedia.org/wiki/African_Americans,African Americans,African American,"African Americans, also known as Black Americans and formerly also called Afro-Americans, are an American racial and ethnic group that consists of Americans who have total or partial ancestry from any of the Black racial groups of Africa. African Americans constitute the second largest ethno-racial group in the U.S. after White Americans. The term ""African American"" generally denotes descendants of Africans enslaved in the United States. In 2023, an estimated 48.3 million people self-identified as Black, making up 14.4% of the country’s population. This marks a 33% increase since 2000, when there were 36.2 million Black people living in the U.S. African-American history began in the 16th century, with Africans being sold to European slave traders and transported across the Atlantic to the Western Hemisphere. They were sold as slaves to European colonists and put to work on plantations, particularly in the southern colonies. A few were able to achieve freedom through manumission or esca","African-American society, Ethnic groups in the United States, History of civil rights in the United States, African-American culture, Ethnonyms of African Americans",2025-06-22 19:13:30
Wikipedia,https://en.wikipedia.org/wiki/African-American_history,African-American history,African American,"African-American history started with the forced transportation of Africans to North America in the 16th and 17th centuries. The European colonization of the Americas, and the resulting Atlantic slave trade, encompassed a large-scale transportation of enslaved Africans across the Atlantic. Of the roughly 10–12 million Africans who were sold in the Atlantic slave trade, either to Europe or the Americas, approximately 388,000 were sent to North America. After arriving in various European colonies in North America, the enslaved Africans were sold to white colonists, primarily to work on cash crop plantations. A group of enslaved Africans arrived in the English Virginia Colony in 1619, marking the beginning of slavery in the colonial history of the United States; by 1776, roughly 20% of the British North American population was of African descent, both free and enslaved. During the American Revolutionary War, in which the Thirteen Colonies gained independence and began to form the United S","African-American history, African diaspora history, History by ethnic group, History of the Southern United States, History of ethnic groups in the United States",2025-06-22 19:13:32
Wikipedia,https://en.wikipedia.org/wiki/African-American_English,African-American English,African American,"African-American English (AAE) is the umbrella term for English dialects spoken predominantly by Black people in the United States and, less often, in Canada; most commonly, it refers to a dialect continuum ranging from African-American Vernacular English to more standard American English. Like all widely spoken language varieties, African-American English shows variation stylistically, generationally, geographically (that is, features specific to singular cities or regions only), in rural versus urban characteristics, in vernacular versus standard registers, etc. There has been a significant body of African-American literature and oral tradition for centuries. The broad topic of the English language, in its diverse forms, as used by Black people in North America has various names, including Black American English or simply Black English. Also common is the somewhat controversial term Ebonics and, more recently in academic linguistics, African American Language (AAL). African-American ","African-American English, Culture of the Southern United States, Dialects of English, Languages of the African diaspora",2025-06-22 19:13:34
Wikipedia,https://en.wikipedia.org/wiki/African-American_Vernacular_English,African-American Vernacular English,African American,"African-American Vernacular English[a] (AAVE)[b] is the variety of English natively spoken, particularly in urban communities, by most working- and middle-class African Americans and some Black Canadians. Having its own unique grammatical, vocabulary, and accent features, AAVE is employed by middle-class Black Americans as the more informal and casual end of a sociolinguistic continuum. However, in formal speaking contexts, speakers tend to switch to more standard English grammar and vocabulary, usually while retaining elements of the vernacular (non-standard) accent. AAVE is widespread throughout the United States, but is not the native dialect of all African Americans, nor are all of its speakers African American. Like most varieties of African-American English, African-American Vernacular English shares a large portion of its grammar and phonology with the regional dialects of the Southern United States, and especially older Southern American English, due to the historical enslaveme","African-American English, Dialects of English, Sociolects",2025-06-22 19:13:35
Wikipedia,https://en.wikipedia.org/wiki/African-American_culture,African-American culture,African American,"African-American culture, also known as Black American culture or Black culture in American English, refers to the cultural expressions of African Americans, either as part of or distinct from mainstream American culture. African-American/Black-American culture has been influential on American and global worldwide culture as a whole. Black-American/African American culture primarily refers to the distinct cultural expressions, traditions, and contributions of people who are descendants of those enslaved in the United States, as well as free people of color who lived in the country before 1865. This culture is rooted in a specific ethnic group and is separate from the cultures of more recent melanated (dark-skinned) immigrants from Africa, the Caribbean, or Afro-Latinos. African American culture is not simply defined by race or historical struggle but is deeply rooted in shared practices, identity, and community. African American culture encompasses many aspects, including spiritual bel","African-American cultural history, African-American society, Culture of the Southern United States",2025-06-22 19:13:37
Wikipedia,https://en.wikipedia.org/wiki/Stereotypes_of_African_Americans,Stereotypes of African Americans,African American,"Stereotypes of African Americans are misleading beliefs about the culture of people with partial or total ancestry from any black racial groups of Africa whose ancestors resided in the United States since before 1865. These stereotypes are largely connected to the racism and the discrimination faced by African Americans. These beliefs date back to the slavery of black people during the colonial era and they have evolved within American society over time. The first significant display of stereotypes of African Americans was in the form of minstrel shows. Minstrel shows boomed at the beginning in the nineteenth century; these shows were theatrical plays that used white actors who performed in blackface and wore torn attire to portray African-Americans in order to lampoon and disparage black communities. Throughout history, more stereotypes became popular to dehumanize African American communities further. Some nineteenth century stereotypes, such as the sambo, are now considered to be de",Stereotypes of African Americans,2025-06-22 19:13:39
Wikipedia,https://en.wikipedia.org/wiki/African-American_organized_crime,African-American organized crime,African American,"In the late 19th and early 20th centuries, African American organized crime emerged following the first and second large-scale migrations of African Americans from the Southern United States to major cities of the Northeast, Midwest, and later the West Coast. In many of these newly established communities and neighborhoods, criminal activities such as illegal gambling (e.g. the numbers racket) and speakeasies were seen in the post-World War I and Prohibition eras. Although the majority of these businesses in African-American neighborhoods were operated by African-Americans, it is often unclear the extent to which these operations were run independently of the larger criminal organizations of the time. Jean Baptiste Point du Sable was a pioneering figure credited as the founder of Chicago. Born around 1745 in Saint-Domingue (now Haiti), DuSable was of African and French descent. In the late 1770s, DuSable established a successful trading post near the mouth of the Chicago River, on what",African-American organized crime,2025-06-22 19:13:40
Wikipedia,https://en.wikipedia.org/wiki/Military_history_of_African_Americans,Military history of African Americans,African American,"The military history of African Americans spans African-American history, the history of the United States and the military history of the United States from the arrival of the first enslaved Africans during the colonial history of the United States to the present day. African Americans have participated in every war which has been fought either by or within the United States, including the Revolutionary War, the War of 1812, the Mexican–American War, the Civil War, the Spanish–American War, World War I, World War II, the Korean War, the Vietnam War, the Gulf War, the War in Afghanistan, and the Iraq War. African Americans, both as slaves and freemen, served on both sides of the Revolutionary War. Gary Nash reports that recent research concludes there were about 9,000 black soldiers who served on the American side, counting the Continental Army and Navy, state militia units, as well as privateers, wagoneers in the Army, servants, officers and spies. Ray Raphael notes that while thousan","African-American history of the United States military, History of racial segregation in the United States, Seabees, Military history of the United States by ethnic group",2025-06-22 19:13:42
Wikipedia,https://en.wikipedia.org/wiki/African-American_Muslims,African-American Muslims,African American,"African-American Muslims, also known as Black Muslims, are an African-American religious minority. African-American Muslims account for over 20% of American Muslims. They represent one of the larger Muslim populations of the United States as there is no ethnic group that makes up the majority of American Muslims. They mostly belong to the Sunni sect, but smaller Shia and Nation of Islam minorities also exist. The history of African-American Muslims is related to African-American history in general, and goes back to the Revolutionary and Antebellum eras. Historically, an estimated 30% of slaves brought to the Americas from West/Central Africa were Muslims. They were overwhelmingly literate in contrast to other slaves, and thus were given supervisory roles. Most of these captives were forced into Christianity during the era of American slavery; however, there are records of individuals such as Omar ibn Said practicing Islam for the rest of their lives in the United States. During the twe","African-American Muslims, African-American Islam, Ethnoreligious groups in the United States",2025-06-22 19:13:43
Wikipedia,https://en.wikipedia.org/wiki/Lists_of_African_Americans,Lists of African Americans,African American,"This is a list of African Americans, also known as Black Americans (for the outdated and unscientific racial term) or Afro-Americans. African Americans are an ethnic group consisting of citizens of the United States mainly descended from various West African and Central African peoples with possible minor additional ancestry from Europe or indigenous Americans and other regions of Africa. As an ethnic group, African Americans are largely the modern-day descendants of West Africans and Central Africans brought to the US from the Trans-Atlantic slave trade who developed a new and distinct cultural identity during their time in the Americas.","Lists of lists of people, Lists of African-American people, Lists of American people by ethnicity, Lists of people by ethnicity",2025-06-22 19:13:45
Wikipedia,https://en.wikipedia.org/wiki/African-American_literature,African-American literature,Black literature,"African American literature is the body of literature produced in the United States by writers of African descent. Phillis Wheatley was an enslaved African woman who became the first African American to publish a book of poetry, which was published in 1773. Her collection, was titled Poems on Various Subjects, Religious and Moral. Olaudah Equiano (c. 1745–1797) was an African man who wrote The Interesting Narrative of the Life of Olaudah Equiano, an autobiography published in 1789 that became one of the first influential works about the transatlantic slave trade and the experiences of enslaved Africans. His work was published sixteen years after Phillis Wheatley's work (c. 1753–1784). Other prominent writers of the 18th century that helped shape the tone and direction of African American literature were David Walker (1796–1830), an abolitionist and writer best known for his Appeal to the Coloured Citizens of the World (1829); Frederick Douglass, who was a former enslaved person who bec","African-American literature, African-American culture, African-American mass media, American literature by ethnic background",2025-06-22 19:13:50
Wikipedia,https://en.wikipedia.org/wiki/Literature,Literature,Black literature,"Literature is any collection of written work, but it is also used more narrowly for writings specifically considered to be an art form, especially novels, plays, and poems. It includes both print and digital writing. In recent centuries, the definition has expanded to include oral literature, much of which has been transcribed. Literature is a method of recording, preserving, and transmitting knowledge and entertainment. It can also have a social, psychological, spiritual, or political role. Literary criticism is one of the oldest academic disciplines, and is concerned with the literary merit or intellectual significance of specific texts. The study of books and other texts as artifacts or traditions is instead encompassed by textual criticism or the history of the book. ""Literature"", as an art form, is sometimes used synonymously with literary fiction, fiction written with the goal of artistic merit, but can also include works in various non-fiction genres, such as biography, diaries,","Literature, Written communication, Humanities",2025-06-22 19:13:51
Wikipedia,https://en.wikipedia.org/wiki/I_Am_Not_Sidney_Poitier,I Am Not Sidney Poitier,Black literature,"I Am Not Sidney Poitier (2009) is a novel by American writer Percival Everett. Originally published by Graywolf Press, in 2020 it was published by Influx Press in the UK. It explores the tumultuous life of a character named Not Sidney Poitier as the social hierarchy scrambles to balance his skin color with his wealth. Each adventure reflects a prominent film starring Sidney Poitier, such as The Defiant Ones or Guess Who's Coming to Dinner, and incorporates a significant twist. The novel reflects a Post-black writing style by parodying the traditions of Black literature.","2009 American novels, Believer Book Award–winning books, Graywolf Press books, African-American novels",2025-06-22 19:13:52
Wikipedia,https://en.wikipedia.org/wiki/13th_century_in_literature,13th century in literature,Black literature,This article contains information about the literary events and publications of the 13th century. By century,"13th-century literature, Medieval literature, History of literature",2025-06-22 19:13:53
Wikipedia,https://en.wikipedia.org/wiki/Black_Consciousness_Movement,Black Consciousness Movement,Black literature,"The Black Consciousness Movement (BCM) was a grassroots anti-apartheid activist movement that emerged in South Africa in the mid-1960s out of the political vacuum created by the jailing and banning of the African National Congress and Pan Africanist Congress leadership after the Sharpeville Massacre in 1960. The BCM represented a social movement for political consciousness. [Black Consciousness'] origins were deeply rooted in Christianity. In 1966, the Anglican Church under the incumbent, Archbishop Robert Selby Taylor, convened a meeting which later on led to the foundation of the University Christian Movement (UCM). This was to become the vehicle for Black Consciousness.","Black Consciousness Movement, African and Black nationalism, Social movements in South Africa, Defunct political magazines",2025-06-22 19:13:55
Wikipedia,https://en.wikipedia.org/wiki/Black_is_beautiful,Black is beautiful,Black literature,"Black is beautiful is a cultural movement that was started in the United States in the 1960s by African Americans. It later spread beyond the United States, most prominently in the writings of the Black Consciousness Movement of Steve Biko in South Africa. Black is beautiful got its roots from the Négritude movement of the 1930s. Negritude argued for the importance of a Pan-African racial identity among people of African descent worldwide. The movement aims to dispel the racist notion that black people's natural features, such as skin color, facial features, and hair, are inherently ugly. The movement also encouraged men and women to stop trying to eliminate African-identified traits by attempting to lighten or bleach their skin. John Rock was long thought to be the first person to coin the phrase ""black is beautiful""—during a speech in 1858—but historical records indicate that he never actually used the specific phrase on that day. Bill Allen, a freelance writer for advertising agenci","African-American culture, Beauty, Black Power",2025-06-22 19:13:56
Wikipedia,https://en.wikipedia.org/wiki/Black_lesbian_literature_in_the_United_States,Black lesbian literature in the United States,Black literature,"Black lesbian literature is a subgenre of lesbian literature and African American literature that focuses on the experiences of black lesbians. The genre features poetry and fiction about black lesbian characters as well as non-fiction essays which address issues faced by black lesbians. Figures within the genre include Ann Allen Shockley, Audre Lorde, Cheryl Clarke, and Barbara Smith. Black lesbian literature is characterized by its central focus on black women's experiences as they are shaped by interlocking systems of oppression like racism, sexism, homophobia, and class discrimination. Black lesbian literature emerged from the Black Feminist movement of the late 1960s and early 1970s. Dissatisfied with the inability of both the feminist movement of the 1960s and the Civil Rights Movement to address the specific forms of oppression experienced by black women, these writers produced critical essays and fictional works which gave voice to their experiences, using Black Feminist theori","African-American literature, Lesbian literature, LGBTQ African-American culture, LGBTQ and multiculturalism, Fictional lesbians",2025-06-22 19:13:57
Wikipedia,https://en.wikipedia.org/wiki/Southern_United_States_literature,Southern United States literature,Black literature,"Southern United States literature consists of American literature written about the Southern United States or by writers from the region. Literature written about the American South first began during the colonial era, and developed significantly during and after the period of slavery in the United States. Traditional historiography of Southern United States literature emphasized a unifying history of the region; the significance of family in the South's culture, a sense of community and the role of the individual, justice, the dominance of Christianity and the positive and negative impacts of religion, racial tensions, social class and the usage of local dialects. However, in recent decades, the scholarship of the New Southern Studies has decentralized these conventional tropes in favor of a more geographically, politically, and ideologically expansive ""South"" or ""Souths"". In its simplest form, Southern literature consists of writing about the American South. Often, ""the South"" is def","Southern United States literature, Culture of the Southern United States, American literary movements",2025-06-22 19:13:59
Wikipedia,https://en.wikipedia.org/wiki/List_of_black_Nobel_laureates,List of black Nobel laureates,Black literature,"The Nobel Prize is an annual, international prize first awarded in 1901 for achievements in Physics, Chemistry, Physiology or Medicine, Literature, and Peace, with an associated prize in Economics awarded since 1969. As of November 2022, Nobel Prizes had been awarded to 954 individuals, of whom 17 were black recipients (1.7% of the 954 individual recipients). Black people have received awards in three of the six award categories: twelve in Peace (70.6% of the black recipients), four in Literature (23.5%), and one in Economics (5.9%). The first black recipient, Ralph Bunche, was awarded the Nobel Peace Prize in 1950. W. Arthur Lewis became the first black recipient of a Nobel Prize in one of the sciences when he was awarded the Nobel Prize in Economic Sciences in 1979. The most recent black laureate, Abdulrazak Gurnah, was awarded the Nobel Prize in Literature in 2021. Among the black Nobel laureates, three served as heads of state or government of their respective countries upon receiv","Lists of black people, Lists of Nobel laureates by ethnicity",2025-06-22 19:14:00
Wikipedia,https://en.wikipedia.org/wiki/African_heritage_of_presidents_of_the_United_States,African heritage of presidents of the United States,African heritage,"This article includes information on the African heritage of presidents of the United States, together with information on unsubstantiated claims that certain presidents of the United States had African ancestry. (All Homo sapiens descend from ancestors on the African continent, but ""African heritage"" here means descent from sub-Saharan Africans in roughly the past 500 years.) Barack Obama, who served as the 44th president of the United States from 2009 to 2017, had an African father and an American mother of mostly European ancestry. His father, Barack Obama Sr. (1936–1982), was a Luo Kenyan from Nyang'oma Kogelo, Kenya. In July 2012, drawing on a combination of historical documents and Y-DNA analysis, Ancestry.com found a strong likelihood that Obama—through his mother, Stanley Ann Dunham—was descended from John Punch, known as the ""first official slave in the English colonies"" which means that she also had African ancestry as well. Claims that certain U.S. presidents other than Bara","Conspiracy theories involving race and ethnicity, Fringe theories, United States presidency in popular culture, Pseudohistory, African-American genealogy",2025-06-22 19:14:03
Wikipedia,https://en.wikipedia.org/wiki/Heritage_Day_(South_Africa),Heritage Day (South Africa),African heritage,"Heritage Day (Afrikaans: Erfenisdag; Xhosa: Usuku Lwamagugu, Usuku lokugubha amasiko) is a South African public holiday celebrated on 24 September. On this day, South Africans are encouraged to celebrate their culture and the diversity of their beliefs and traditions, in the wider context of a nation that belongs to all its people. When Heritage Day falls on a Sunday, the following Monday is observed as a public holiday.","Public holidays in South Africa, September observances, Culture of South Africa, Spring (season) in South Africa",2025-06-22 19:14:05
Wikipedia,https://en.wikipedia.org/wiki/List_of_heritage_sites_in_South_Africa,List of heritage sites in South Africa,African heritage,"This is a list of national and provincial heritage sites in South Africa, as declared by the South African Heritage Resources Agency (SAHRA) and the nine provincial heritage resources authorities. The list is maintained by SAHRA by means of an online, publicly accessible database, the South African Heritage Resources Information System (SAHRIS), that also serves as an integrated national heritage resources management tool. The lists have been split up by province. Some districts have been split off from their province for site performance reasons.","Lists of heritage sites in South Africa, Culture of South Africa, Historic sites in South Africa, Monuments and memorials in South Africa, Lists of buildings and structures in South Africa",2025-06-22 19:14:06
Wikipedia,https://en.wikipedia.org/wiki/African_World_Heritage_Day,African World Heritage Day,African heritage,"""Proclaimed by the 38th session of the General Conference of UNESCO (November 2015), African World Heritage Day is an opportunity for people around the world, and particularly Africans, to celebrate the Continent’s irreplaceable cultural and natural heritage."" According to UNESCO's news article, May 5, 2017 - African World Heritage Day, ""Africa remains underrepresented on the World Heritage List."" As of June 2023, Africa hosts 54 cultural sites, 39 natural sites, and 5 mixed (cultural & natural) sites for 98 total sites, or 8.47% of the 1157 total sites worldwide. Numerous problems ""threaten the very characteristics for which a property was inscribed on the World Heritage List,"" including armed conflict and war, earthquakes and other natural disasters, pollution, poaching, uncontrolled urbanization, and unchecked tourist development. Worldwide, 55 sites are identified as ""in danger,"" and 15 sites reside in Africa. UNESCO is committed to spearheading international efforts to draw on the","United Nations days, UNESCO, Culture of Africa, May observances",2025-06-22 19:14:07
Wikipedia,https://en.wikipedia.org/wiki/African_Heritage_House,African Heritage House,African heritage,"The African Heritage House is a national monument in Kenya, classified and gazetted under the National Museums and Heritage Act in 2016. Designed by Alan Donovan, built to preserve forgotten architectural designs of the African continent. The house is facing the Nairobi national park, and the public can visit the house for a tour, lunches, dinners, events, conferences, and overnight stays. The house inspiration depicts the towering mud of the Great Mosque of Djenne in Mali, the mud palaces of Morocco, Swahili architecture of the East African coast, Zanzibar and Lamu; and the traditional houses of Ghana and Burkina Faso. The house has thousands pieces of objects, collections of artworks, artefacts, antique, ceremonial costumes, weaponry, jewellery, textiles, brassware and traditional pottery.","Houses in Kenya, Buildings and structures in Nairobi, National museums, Tourist attractions in Nairobi",2025-06-22 19:14:08
Wikipedia,https://en.wikipedia.org/wiki/International_Day_of_the_African_Child,International Day of the African Child,African heritage,"The International Day of the African Child, also known as the Day of the African Child (DAC), has been celebrated on June 16 every year since 1991, when it was first initiated by the OAU Organisation of African Unity. This day honors those who participated in the Soweto Uprising in 1976. It also raises awareness of the continuing need to improve the education provided to African children. On June 16, 1976, in Soweto, South Africa, about ten thousand black school children marched in a column more than half a mile long, protesting the poor quality of their education and demanding their right to be taught in their own language. Tragically, hundreds of young students were shot, with Hector Pieterson being one of the most famous victims. Sadly, more than a hundred people were killed in the protests of the following two weeks, and more than a thousand were injured. On June 16 every year, governments, NGOs, international organisation,' and other stakeholders gather to discuss the challenges a","Protests, June observances",2025-06-22 19:14:09
Wikipedia,https://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_South_Africa,List of World Heritage Sites in South Africa,African heritage,"The United Nations Educational, Scientific and Cultural Organization (UNESCO) World Heritage Sites are places of importance to cultural or natural heritage as described in the UNESCO World Heritage Convention, established in 1972. Cultural heritage consists of monuments (such as architectural works, monumental sculptures, or inscriptions), groups of buildings, and sites (including archaeological sites). Natural features (consisting of physical and biological formations), geological and physiographical formations (including habitats of threatened species of animals and plants), and natural sites which are important from the point of view of science, conservation, or natural beauty, are defined as natural heritage. South Africa accepted the convention on 10 July 1997. There are twelve World Heritage Sites in South Africa.","World Heritage Sites in South Africa, Lists of World Heritage Sites, South Africa geography-related lists, Lists of tourist attractions in South Africa",2025-06-22 19:14:10
Wikipedia,https://en.wikipedia.org/wiki/List_of_World_Heritage_Sites_in_Africa,List of World Heritage Sites in Africa,African heritage,"The United Nations Educational, Scientific and Cultural Organization (UNESCO) has designated 147 World Heritage Sites in Africa.[a] These sites are located in 46 countries (also called ""state parties"").","Lists of World Heritage Sites, World Heritage Sites in Africa, Lists of tourist attractions in Africa",2025-06-22 19:14:12
